Año,Mes,Día,Arg. $ (*),Real (*),Dolar cierre (*),Dolar fondo (**),Dolar prom (*),Euro,Oro Londres (***)
2022,12,30,"0,12","8,348","40,071","40,071","39,09","42,878","1819,2"
2023,01,31,"0,103","7,975","38,681","38,681","39,386","42,052","1929,28"
2023,02,28,"0,108","7,702","38,893","38,893","39,028","41,201","1829,35"
2023,03,31,"0,109","7,776","38,648","38,648","39,112","41,952","1970,43"
2023,04,28,"0,088","7,835","38,783","38,783","38,782","42,727","1988,69"
2023,05,31,"0,088","7,803","38,779","38,779","38,861","41,385","1964,12"
2023,06,30,"0,085","7,713","37,408","37,408","38,2","40,816","1918,8"
2023,07,31,"0,073","7,83","37,429","37,429","37,888","41,168","1966,8"
2023,08,31,"0,055","7,783","37,592","37,592","37,851","40,776","1941,09"
2023,09,29,"0,053","8,033","38,556","38,556","38,146","40,785","1848,69"
2023,10,31,"0,047","8,208","39,974","39,974","39,745","42,297","1984,35"
2023,11,30,"0,049","8,116","39,119","39,119","39,554","42,597","2034,98"
2023,12,29,"0,043","8,41","39,022","39,022","39,303","43,127","2064,78"
2024,01,31,"0,036","8,386","39,164","39,164","39,139","42,395","2041,11"
2024,02,29,"0,041","8,361","39,047","39,047","39,109","42,202","2046,4"
2024,03,27,"0,042","8,128","37,552","37,552","38,421","40,639","2192,23"
2024,04,30,"0,04","7,741","38,318","38,318","38,479","40,916","2290,11"
2024,05,31,"0,034","7,606","38,792","38,792","38,516","42,066","2322,23"
2024,06,28,"0,032","7,447","39,989","39,989","39,268","42,828","2324,97"
